,0,1,2
475,16.10.2019,1,434684
476,17.10.2019,1,433367
477,18.10.2019,1,435106
478,19.10.2019,1,437383
479,22.10.2019,1,438354
480,23.10.2019,1,436781
481,24.10.2019,1,436518
482,25.10.2019,1,436100
483,26.10.2019,1,437161
484,29.10.2019,1,435849
485,30.10.2019,1,437122
486,31.10.2019,1,438810
487,01.11.2019,1,441130
488,02.11.2019,1,442458
489,06.11.2019,1,437297
490,07.11.2019,1,438630
491,08.11.2019,1,439353
492,09.11.2019,1,438905
493,12.11.2019,1,438245
494,13.11.2019,1,436882
495,14.11.2019,1,439198
496,15.11.2019,1,436564
497,16.11.2019,1,433992
498,19.11.2019,1,434485
499,20.11.2019,1,433911
500,21.11.2019,1,435985
501,22.11.2019,1,434132
502,23.11.2019,1,433101
503,26.11.2019,1,433083
504,27.11.2019,1,434018
505,28.11.2019,1,433668
506,29.11.2019,1,433512
507,30.11.2019,1,434282
508,03.12.2019,1,436698
509,04.12.2019,1,439167
510,05.12.2019,1,437680
511,06.12.2019,1,436484
512,07.12.2019,1,435962
513,10.12.2019,1,435046
514,11.12.2019,1,433989
515,12.12.2019,1,433833
516,13.12.2019,1,435182
517,14.12.2019,1,433002
518,17.12.2019,1,431597
519,18.12.2019,1,428161
520,19.12.2019,1,428444
521,20.12.2019,1,430132
522,21.12.2019,1,430110
523,24.12.2019,1,430271
524,25.12.2019,1,430384
525,26.12.2019,1,427201
526,27.12.2019,1,427988
527,28.12.2019,1,431491
528,31.12.2019,1,432597
529,01.01.2020,1,433835
530,10.01.2020,1,420494
531,11.01.2020,1,421246
532,14.01.2020,1,421086
533,15.01.2020,1,423511
534,16.01.2020,1,422965
535,17.01.2020,1,425691
536,18.01.2020,1,425134
537,21.01.2020,1,422698
538,22.01.2020,1,423584
539,23.01.2020,1,422699
540,24.01.2020,1,425731
541,25.01.2020,1,423475
542,28.01.2020,1,423337
543,29.01.2020,1,424165
544,30.01.2020,1,421842
545,31.01.2020,1,424169
546,01.02.2020,1,423217
547,04.02.2020,1,427744
548,05.02.2020,1,427039
549,06.02.2020,1,426173
550,07.02.2020,1,423822
551,08.02.2020,1,425389
552,11.02.2020,1,426627
553,12.02.2020,1,429226
554,13.02.2020,1,425189
555,14.02.2020,1,428039
556,15.02.2020,1,426916
557,18.02.2020,1,425813
558,19.02.2020,1,426046
559,20.02.2020,1,426705
560,21.02.2020,1,422860
561,22.02.2020,1,423871
562,26.02.2020,1,429454
563,27.02.2020,1,430910
564,28.02.2020,1,431056
565,29.02.2020,1,438321
566,03.03.2020,1,435373
567,04.03.2020,1,435937
568,05.03.2020,1,436580
569,06.03.2020,1,438478
570,07.03.2020,1,448181
571,11.03.2020,1,472817
572,12.03.2020,1,465926
573,13.03.2020,1,477773
574,14.03.2020,1,460647
575,17.03.2020,1,458026
576,18.03.2020,1,449397
577,19.03.2020,1,458260
578,20.03.2020,1,459460
579,21.03.2020,1,462491
580,24.03.2020,1,467091
581,25.03.2020,1,468680
582,26.03.2020,1,471035
583,27.03.2020,1,468398
584,28.03.2020,1,471448
585,07.04.2020,1,462341
586,08.04.2020,1,466312
587,09.04.2020,1,464801
588,10.04.2020,1,464342
589,11.04.2020,1,467806
590,14.04.2020,1,466586
591,15.04.2020,1,469436
592,16.04.2020,1,467719
593,17.04.2020,1,470386
594,18.04.2020,1,467844
595,21.04.2020,1,475695
596,22.04.2020,1,480033
597,23.04.2020,1,487981
598,24.04.2020,1,476618
599,25.04.2020,1,474374
600,28.04.2020,1,480425
601,29.04.2020,1,483516
602,30.04.2020,1,481192
603,01.05.2020,1,475848
604,07.05.2020,1,475195
605,08.05.2020,1,478573
606,09.05.2020,1,480984
607,13.05.2020,1,476504
608,14.05.2020,1,477252
609,15.05.2020,1,476182
610,16.05.2020,1,472908
611,19.05.2020,1,470939
612,20.05.2020,1,473370
613,21.05.2020,1,473308
614,22.05.2020,1,465332
615,23.05.2020,1,468373
616,26.05.2020,1,467380
617,27.05.2020,1,469600
618,28.05.2020,1,472572
619,29.05.2020,1,469055
620,30.05.2020,1,470642
621,02.06.2020,1,469367
622,03.06.2020,1,471086
623,04.06.2020,1,471828
624,05.06.2020,1,475721
625,06.06.2020,1,479737
626,09.06.2020,1,477981
627,10.06.2020,1,474678
628,11.06.2020,1,480191
629,12.06.2020,1,479706
630,16.06.2020,1,480094
631,17.06.2020,1,482268
632,18.06.2020,1,480191
633,19.06.2020,1,478415
634,20.06.2020,1,477337
635,23.06.2020,1,477769
636,24.06.2020,1,476700
637,25.06.2020,1,475737
638,26.06.2020,1,477648
639,27.06.2020,1,475742
640,30.06.2020,1,480495
641,01.07.2020,1,482946
642,02.07.2020,1,487242
643,03.07.2020,1,488773
644,04.07.2020,1,489128
645,07.07.2020,1,497032
646,08.07.2020,1,500368
647,09.07.2020,1,494818
648,10.07.2020,1,495735
649,11.07.2020,1,494833
650,14.07.2020,1,492547
651,15.07.2020,1,493411
652,16.07.2020,1,496165
653,17.07.2020,1,497905
654,18.07.2020,1,500850
655,21.07.2020,1,503236
656,22.07.2020,1,500529
657,23.07.2020,1,504365
658,24.07.2020,1,507669
659,25.07.2020,1,506695
660,28.07.2020,1,510401
661,29.07.2020,1,512643
662,30.07.2020,1,518863
663,31.07.2020,1,523521
664,01.08.2020,1,528154
665,04.08.2020,1,527935
666,05.08.2020,1,523791
667,06.08.2020,1,526448
668,07.08.2020,1,524936
669,08.08.2020,1,531148
